"","electricity","postal_code","water_use","property_type","squarefootage","property_name","year_built","fuel_oil","natural_gas","greenhouse_emissions"
"256",3815165.3,"19107",378.3,"Office",83059,"211 N. 13th Street Associates, LP",1920,NA,1919915.4,525.2
"257",3457546.8,"19104",1013.2,"Office",57027,"4025 Chestnut (American Law Institute)",1968,NA,2536617.5,518.3
"258",5293035.6,"19107",3450,"Hotel",107000,"3132B-Courtyard Philadelphia South",2014,NA,4350700,818.2
"259",5304387.3,"19154",380.8,"Distribution Center",110000,"Select Nutrition Distributors",2000,NA,1924467.8,690.6
"260",5401697.6,"19122",5395.9,"Multifamily Housing",129330,"Diamond Green",2012,NA,1882150.7,699.2
"261",94204.3,"19122",134.9,"Non-Refrigerated Warehouse",83950,"Charles Schober Company",1923,NA,439900.5,33.8
"262",1445436.5,"19131",850.2,"Multifamily Housing",49447,"Inglis Gardens at Belmont I",2016,NA,575596.7,190.9
"263",4484715.7,"19103",1044.9,"K-12 School",123306,"Friends Select School",1969,NA,5318476.2,780
"264",4093519.7,"19144",12280.2,"Multifamily Housing",273509,"Park Heights Apartments",1958,NA,12067396.8,1095.1
"265",4879528.5,"19104",3683.6,"Residence Hall/Dormitory",102680,"31-Millenium Hall",2009,NA,2999122.3,700.6
"266",5651807.4,"19144",10407.6,"Multifamily Housing",271774,"Alden Park Manor - Cambridge",1950,NA,7231350.7,1011.1
"267",3376209.1,"19103",3138.1,"Multifamily Housing",57178,"The Latham",1950,NA,2740365.3,520.1
"268",38035065.3,"19106",16963.1,"Office",1141839,"Curtis Center",1910,NA,1977273.9,4324.3
"269",13652896.2,"19103",7025.5,"Multifamily Housing",315660,"2116 Chestnut",2013,NA,3625604.3,1707.1
"270",9829054.2,"19106",12462.5,"Hotel",238688,"Wyndham - Philadelphia Historic District",1970,NA,9558518.4,1598
"271",4934366.2,"19107",1501.2,"Office",98809,"125 S. 9th (Sheridan Building)",1916,NA,213586.8,558.7
"272",4950269.5,"19104",1022.2,"K-12 School",84357,"Penn Alexander",2002,NA,1711760.6,640.1
"273",5417914.8,"19104",4236.4,"Residence Hall/Dormitory",108535,"26-Caneris Hall",2000,NA,7721803.5,1011.2
"274",5432050.7,"19104",15251.6,"Multifamily Housing",268381,"Chestnut Hall",1923,NA,19130008.7,1618.7
"275",5478805.4,"19107",14758.8,"Multifamily Housing",267023,"L A 1229 Chestnut St.",1914,NA,15265665,1418.6
"276",5479552.6,"19104",6425.2,"Senior Care Community",75972,"CSE Centennial Village",1978,NA,1995202.7,713.8
"277",5498990.7,"19122",1621.9,"Multifamily Housing",180882,"Paseo Verde North and South",2013,NA,105870.9,615.6
"278",6767917,"19103",16026.9,"Multifamily Housing",428813,"Rittenhouse Claridge",1951,NA,32370524,2470.1
"279",6938892.3,"19104",4596.8,"Residence Hall/Dormitory",132518,"29-Race Hall",2006,NA,1939539.1,872.8
"280",5537624.8,"19103",4376.2,"Multifamily Housing",141871,"Council for Two Twenty West Rittenhouse Square",1957,NA,9649475.9,1126.8
"281",5556650.1,"19104",6284.1,"Hotel",110000,"Homewood Suites University City",2012,NA,28234.6,617.9
"282",5618492.6,"19107",5314.8,"Multifamily Housing",215353,"Warehouse",2003,NA,1226824.7,688.4
"283",5779945.1,"19107",6559.7,"Multifamily Housing",246000,"Center City 1",1976,NA,5431385.6,929.7
"284",5189532.6,"19102",4365.6,"Multifamily Housing",232318,"The Touraine Apartments",1917,NA,19770931.8,1625.8
"285",5232073.4,"19102",3236.3,"Multifamily Housing",118879,"1411 Walnut St.",1942,NA,887403.9,627.5
"286",5269131.1,"19103",2154.9,"Office",105000,"KlingStubbins",1920,NA,2001931.2,690.8
"287",68417389.9,"19102",15902.5,"Office",1088584,"Two Commerce Square",1992,NA,NA,7589.6
"288",16509654.6,"19103",11066,"Hotel",290966,"Sofitel Philadelphia",2000,NA,13171399.8,2531
"289",7757390.1,"19107",5855.6,"Multifamily Housing",186533,"Western Union Building",2007,NA,596120,892.2
"290",44974254.4,"19104",13195.1,"Office",1041889,"FMC Tower (167)",2016,NA,14959424.5,5783.6
"291",3179699.1,"19131",7617.5,"Multifamily Housing",203522,"West River Apartments",1965,NA,5673072.1,623.5
"292",13268582.2,"19104",6100.8,"Multifamily Housing",354372,"3601 Market Street",2015,NA,6896314.5,1838.2
"293",11375225.9,"19104",5346.5,"Multifamily Housing",506548,"3737 Chestnut",2015,NA,2972290.1,1419.7
"294",11503083.7,"19103",6297.1,"Multifamily Housing",325000,"2200 Arch Street",1996,NA,2610881.7,1414.7
"295",9515457.3,"19124",1116.6,"Retail Store",163574,"#4112-ROOSEVELT BLVD",1995,NA,2534262.2,1190.2
"296",13524553.8,"19102",5047.9,"Office",241831,"30 South 15th Associates",1985,NA,4912925.9,1761.2
"297",13543647.4,"19131",18983.5,"Multifamily Housing",368612,"Greenbriar Club Apartments",1970,NA,24329907.6,2794.7
"298",31704812.4,"19102",9933.4,"Courthouse",510000,"Family Court_Arch St",2014,NA,26421203.5,4920.4
"299",32558075.1,"19104",5388.8,"Medical Office",140913,"3701 Market St.",2000,NA,0,3611.7
"300",4077104.6,"19154",387.1,"Distribution Center",154048,"14300 Townsend Rd",1996,NA,11397780.9,1057.7
"301",9615937.2,"19103",4869.1,"Office",205000,"1608 Walnut Street Associates LP",1925,NA,568963.3,1096.9
"302",9682495.1,"19104",1616.6,"Office",117848,"3440 Market St",1981,NA,337839.2,17.9
"303",13834981,"19124",1663.9,"Distribution Center",1197220,"CDC",1964,NA,26527011.3,2943.7
"304",33566239.2,"19103",24383.6,"Multifamily Housing",573027,"(PA2473) - Rittenhouse Condo & Hotel",1989,NA,15897916.1,4567.9
"305",34296775.7,"19103",11039.8,"Office",710000,"One Penn Center",1929,NA,5024911.3,4071.5
"306",22988646.8,"19131",21362.1,"Multifamily Housing",806870,"PC - 4 Towers",2015,NA,10414419.3,3103.3
"307",23825665,"19103",20029.7,"Multifamily Housing",430018,"Parc Rittenhouse Condominium",1928,NA,11314181.8,3244
"308",8886185.5,"19104",7310,"Multifamily Housing",170000,"International House Philadelphia",1970,NA,16371921.8,1855.3
"309",3522460.1,"19144",5792.6,"Multifamily Housing",174375,"Hathaway House Apts.",1968,NA,4801112.9,645.8
"310",5197015.1,"19144",11270.9,"Multifamily Housing",234031,"Mt. Airy",1950,NA,12397700,1235
"311",12881954.8,"19106",38344.4,"Multifamily Housing",900000,"Society Hill Towers Owners Association",1960,NA,37169691.1,3403.3
"312",13259646.2,"19131",1.6,"Multifamily Housing",794056,"(PA2488) - Park Place Condos",1962,NA,24357549.7,2764.7
"313",27557540,"19107",9036.4,"Office",545707,"The Widener Building",1914,NA,10243528.2,3601.1
"314",921188.8,"19131",279,"Multifamily Housing",56530,"Wynne Senior",2017,NA,155900,110.5
"315",1354065.2,"19131",2814.7,"Senior Care Community",54902,"Hayes Manor",1886,NA,3309584.5,326
"316",12577870.6,"19103",10193.2,"Multifamily Housing",367000,"Edgewater",2006,NA,138629.8,1402.6
"317",40135458.4,"19103",13776,"Office",842566,"Independence Blue Cross",1988,NA,19394884.6,5482.4
"318",10399062.9,"19131",1908.6,"Supermarket/Grocery Store",68325,"Shop Rite of Parkside Plaza",2008,NA,8420936.4,1600.9
"319",10591721.5,"19103",6263.4,"Multifamily Housing",283000,"Barclay",1929,NA,14105360.8,1924.2
"320",15489395,"19103",13229,"Hotel",335530,"The Logan Hotel",1983,NA,30668297.9,3347.2
"321",16247166.1,"19106",4092.5,"Office",336600,"Chubb Philadelphia",1925,NA,5799621.4,2110.4
"322",7289082.9,"19106",8052,"Multifamily Housing",167542,"(PA2414) - Metroclub Condominiums",2005,NA,1463896.7,886.3
"323",10655413.3,"19106",2952.4,"Office",186328,"400 Market",1971,NA,2922033.5,1337.2
"324",10726451.1,"19103",12229.1,"Multifamily Housing",600537,"Penn Center House",1959,NA,25028427.1,2519.3
"325",10934357.9,"19103",4792.8,"Multifamily Housing",332245,"1912-20 Arch St. Associates",2014,NA,571902.3,1243.3
"326",16830580.5,"19103",530.5,"Office",98714,"The Philadelphia Design Building",1910,NA,559655.9,1896.8
"327",16918272.3,"19106",8277.2,"Hotel",317000,"Sheraton Hotel - Philadelphia Society Hill",1986,NA,10002496.2,2408
"328",46092776.2,"19106",13202,"Office",1108655,"One Washington Square",1932,NA,27329800.4,6564.7
"329",50743502.8,"19104",11788.8,"Office",932088,"IRS 30th Street Campus (165)",2010,NA,9803922,6149.8
"330",51995945.7,"19106",45164.1,"Office",880000,"The Lits Building",1986,NA,777414.6,5809.3
"331",11176951.1,"19144",30795.8,"Multifamily Housing",438235,"Alden Park Manor - Manor",1925,NA,11718865.9,1862.3
"332",11185805.3,"19154",483,"Distribution Center",123510,"US Treasury Building",1994,NA,1843067.5,1338.7
"333",11259282.7,"19103",7299.8,"Multifamily Housing",352484,"2400 Chestnut",1978,NA,2295982.9,1371
"334",17403219.9,"19103",27601.1,"Multifamily Housing",437034,"Dorchester Owners Association",1963,NA,36454156.5,3866.8
"335",9879746.3,"19103",8573.5,"Hotel",156650,"Hotel Palomar Philadelphia",2009,NA,11327994.7,1697.7
"336",14100090,"19103",6959.9,"Hotel",134484,"171-Rittenhouse Hotel",1989,NA,8685600,2025.5
"337",14356733.8,"19104",16132.1,"Multifamily Housing",368221,"381-Chestnut Square",2013,NA,8436890.4,2040.7
"338",37026546.3,"19103",9007.3,"Office",912254,"1600 MARKET STREET, Site #602760",1983,NA,12392149.9,4765.6
"339",37683151.6,"19107",12421.2,"Office",759072,"ARAMARK Tower",1984,NA,15901828.3,5024.8
"340",38022918.6,"19104",6918.1,"Office",155715,"3711 Market St.",2008,NA,4930515.3,4479.8
"341",10349599.1,"19106",6400.7,"Office",232097,"Constitution Place",1955,NA,5098466.6,1418.9
"342",14676714.6,"19102",5605,"Office",212472,"230 S. Broad",1908,NA,4530950.2,1868.8
"343",14879438.6,"19144",5252,"Non-Refrigerated Warehouse",676000,"4700 Wissahickon Ave.",1929,NA,30047518.4,3246.6
"344",15380163.2,"19103",21952.3,"Hotel",284000,"Sonesta - Philadelphia",1980,NA,23392299.8,2948.6
"345",11417343.6,"19144",5709.9,"K-12 School",308325,"William Penn Charter School",1925,NA,12004526.6,1904.2
"346",18126802.7,"19106",11240.2,"Hotel",585000,"Hilton Pennslanding Philadelphia",1999,NA,16848271,2905.7
"347",18164113,"19103",4632.5,"Office",286585,"1635 Market",1966,NA,3073527,2178.2
"348",18253517.6,"19122",1411,"Refrigerated Warehouse",94500,"Honor Foods",1983,NA,58407.3,2028
"349",18281107,"19103",16894.2,"Multifamily Housing",518241,"Sterling Apartment Homes",1961,NA,30341337.3,3639.5
"350",7775620.4,"19104",5268,"Residence Hall/Dormitory",167173,"24-North Hall",1998,NA,2493736.1,995
"351",19828636.7,"19106",6526,"Office",446086,"615 Chestnut Street",1981,NA,1607683.5,2285
"352",8191662.7,"19154",2202.9,"K-12 School",173550,"Rush",1980,NA,4793686.5,1163.3
"353",8263536.4,"19103",5663,"Multifamily Housing",196225,"Riverloft",1910,NA,2262898.5,1036.9
"354",8328668.1,"19103",1785.2,"Office",163836,"2401 Walnut",1925,NA,546973,953
"355",24980661.2,"19124",8635.7,"Refrigerated Warehouse",76000,"Philadelphia Cheesesteak Company",1955,NA,8269847,3210.4
"356",21733918,"19124",9950.7,"Hospital (General Medical & Surgical)",184065,"ARIA - Jefferson Health Frankford",1987,NA,27455759.6,3905.2
"357",8538130.8,"19104",1623.8,"K-12 School",162211,"School of the Future",2006,NA,6694681.7,1302.7
"358",8553645.2,"19106",4700.2,"Multifamily Housing",107879,"(PA2418) - Ayer Condominium",1929,NA,10039124.1,1482.1
"359",8594892.8,"19154",758.7,"Distribution Center",121508,"United Refrigeration Inc. Headquarters",1960,NA,2322368.8,1076.8
"360",23153736.5,"19102",10457.8,"Multifamily Housing",444600,"Packard Grande",1924,NA,1917183.8,2670.3
"361",7883074.6,"19107",6840.3,"Multifamily Housing",216980,"American Postal Workers House",1979,NA,492648.8,900.6
"362",11488610,"19131",14511.2,"Hotel",258000,"Hilton Philadelphia-Homewood Suites",2000,NA,12448460.3,1935.6
"363",18305519.9,"19144",19949.8,"Multifamily Housing",520280,"Rittenhouse Hill",2014,NA,9988152.2,2561.2
"364",7999526.1,"19103",20603.6,"Multifamily Housing",337140,"(PA2326) - Riverwest Condominium",1957,NA,22064110,2059.3
"365",11684933.1,"19154",1333.1,"Wholesale Club/Supercenter",133000,"Sam's Club #18-6332",2000,NA,6794110.6,1657.1
"366",54385164.6,"19103",10690.1,"Office",1111787,"153-ONE LOGAN SQUARE",1983,NA,14788905.8,6818.5
"367",54646592,"19106",11486.8,"Financial Office",752612,"03-1-Philadelphia Head Office",1976,NA,42045398.9,8295.2
"368",7593818.9,"19144",21280.6,"Multifamily Housing",356003,"Alden Park Manor - Kenilworth",1925,NA,10363710,1392.9
"369",7719585.2,"19122",9397.1,"Multifamily Housing",245287,"380-University Village-Temple",2004,NA,4193804.8,1079.1
"370",11317853.1,"19107",1508.7,"Office",142089,"121 S. Broad",1900,NA,410.4,1255.5
"371",8990183.3,"19107",6006.9,"Hotel",151350,"Hilton Home2 Hotel",2013,NA,3584419.8,1187.7
"372",9056150.9,"19107",9812.1,"Multifamily Housing",248832,"Grandveiw Condominium",1927,NA,4330531.3,1234.6
"373",12902348.3,"19154",1615.3,"Wholesale Club/Supercenter",176191,"Walmart Supercenter #01-2650",2014,NA,5240960.8,1709.6
"374",12947461.8,"19103",14871.9,"Multifamily Housing",521968,"One Franklin Town",1988,NA,3824722.4,1639.4
"375",12987576.7,"19106",4930.4,"Office",270210,"American College of Physicians Headquarters",1998,NA,5135691.9,1713.5
"376",26005844.3,"19107",23605.7,"Hotel",565764,"Doubletree Hotel",1983,NA,11343913.5,3487.4
"377",12412579.6,"19106",10508.9,"Hotel",90000,"Hotel Monaco Philadelphia",2012,NA,14112311.3,2126.5
"378",5318096.7,"19107",7543.4,"Hotel",110000,"Holiday Inn Express Midtown",1964,NA,3716917.3,787.4
"379",13394222.3,"19104",12521.9,"Multifamily Housing",525469,"DOMUS",2008,NA,2871768.4,1638.4
"380",27748219.7,"19104",404.7,"Multifamily Housing",546793,"382-The Summit at University City",2015,NA,20109567.4,4146.3
"381",28660510,"19107",17260.3,"Multifamily Housing",478920,"834 Chestnut Street, Philadelphia",1925,NA,14912421.6,3971.4
"382",29305592.9,"19102",3384.7,"Office",491000,"Municipal Services Building (MSB)",1968,NA,10471355.8,3807.1
"383",8657393.8,"19131",3202,"Retail Store",160219,"PHILADELPHIA WEST (2124)",2007,NA,2579099.9,1097.4
"384",8694168.4,"19103",6614.7,"Multifamily Housing",168365,"2121 Market St.",1915,NA,1326604.9,1034.9
"385",8696045,"19122",8665.9,"Residence Hall/Dormitory",487684,"Kardon-Atlantic",1976,NA,2502217,1097.6
"386",12346383.4,"19103",11937.1,"Multifamily Housing",278926,"Wanamaker House",1983,NA,5779483.9,1676.6
"387",12381735.1,"19106",29495.5,"Multifamily Housing",780000,"Hopkinson House",1963,NA,12347999.8,2029.4
"388",12517331.4,"19104",3174,"Office",165000,"National Board of Medical Examiners",1980,NA,4168740.8,1610
"389",23308644.7,"19104",17440.8,"Multifamily Housing",489553,"385-University Crossings",1926,NA,1446484.2,2662.5
"390",23913431.9,"19103",19173.1,"Multifamily Housing",455000,"Watermark at Logan Square",1984,NA,5810786.5,2961.4
"391",8883360.4,"19103",9832.4,"Multifamily Housing",320000,"(PA2219) - 2101 Cooperative Inc.",1953,NA,15587197.1,1813.4
"392",8885619.1,"19124",1338.2,"Retail Store",109554,"Walmart Store #01-5103",2003,NA,2107276.7,1097.6
"393",12573104,"19131",14718.6,"Multifamily Housing",387117,"River Park House Condominium",1965,NA,20187231.2,2467
"394",2132489.8,"19144",1430.3,"Multifamily Housing",53900,"Delmar",2014,NA,NA,236.6
"395",9110244.7,"19107",3952,"Multifamily Housing",140363,"Goldtex",2014,NA,NA,1010.6
"396",1683753.8,"19106",2050.6,"Multifamily Housing",59000,"Bank Street Court",1860,NA,NA,186.8
"397",1270588.5,"19124",200.7,"Other",93650,"Jomar Textiles. Inc.",1960,NA,NA,140.9
"398",190922.3,"19103",3.7,"Worship Facility",50400,"St. Patrick's Church",1893,NA,NA,21.2
"399",2021813.7,"19122",1418.6,"Residence Hall/Dormitory",68360,"University Apartments",2003,NA,NA,224.3
"400",1534318.4,"19103",1573.9,"Multifamily Housing",52500,"2201 Cherry Street",1988,NA,NA,170.2
"401",1736888.8,"19106",2674.7,"Multifamily Housing",66104,"Sugar Refinery",1900,NA,NA,192.7
"402",1335573.5,"19102",521.6,"Office",55784,"Bailey",1950,NA,NA,148.2
"403",2120660.4,"19106",2067.4,"Multifamily Housing",51390,"Crafts House Apartments",1845,NA,NA,235.2
"404",2573786.2,"19106",2012,"Multifamily Housing",72300,"Berger Building",1874,NA,NA,285.5
"405",2397271.2,"19131",6733.2,"Multifamily Housing",157304,"Hamilton Court",1910,NA,NA,265.9
"406",1667863.4,"19103",3752.4,"Multifamily Housing",144600,"23 A Condominium",2006,NA,NA,185
"407",1687843.4,"19102",1765.3,"Multifamily Housing",56300,"Liberty View",1994,NA,NA,187.2
"408",1696670.6,"19103",3487.6,"Retail Store",69774,"1700 Associates",1925,NA,NA,188.2
"409",2078360.1,"19103",2827.5,"Multifamily Housing",85975,"Locust Point Condominium Association",2007,NA,NA,230.6
"410",1891401.3,"19106",1293.6,"Multifamily Housing",61918,"Smythe Stores Condominiums",1900,NA,NA,209.8
"411",1913296.7,"19102",2262.2,"Multifamily Housing",69073,"Vida Apartments",1927,NA,NA,212.2
"412",1924903.7,"19106",1420.5,"Multifamily Housing",63000,"Penns View Apartments",1908,NA,NA,213.5
"413",2955003.5,"19106",1471.6,"Office",53400,"Archworks Philadelphia",1920,NA,NA,327.8
"414",5945949.1,"19106",12377.3,"Multifamily Housing",205450,"(PA2449) - Pier 5 COA",1985,NA,NA,659.6
"415",6382709,"19104",9945.8,"Multifamily Housing",164790,"The Courts",1910,NA,NA,708
"416",3396444,"19106",1714.9,"Multifamily Housing",90842,"312 Walnut Street Association LP",1942,NA,NA,376.8
"417",6098994.4,"19102",3659.5,"Multifamily Housing",120000,"The Metropolitan",1926,NA,NA,676.6
"418",2466507.5,"19107",2475.2,"Multifamily Housing",51360,"On Lok House, Inc.",1984,NA,NA,273.6
"419",2478643.6,"19107",1016.1,"Multifamily Housing",53591,"105 S. 12th (The White Building)",1900,NA,NA,275
"420",2994176.7,"19106",2132.3,"Multifamily Housing",68815,"The WireWorks Historic Condominiums",1899,NA,NA,332.1
"421",3147546.1,"19103",5.3,"Multifamily Housing",85328,"The Chatham",1927,NA,NA,349.2
"422",3188694.5,"19103",1628.3,"Multifamily Housing",86658,"L A 1600 Walnut LP",1940,NA,NA,353.7
"423",2781035.9,"19104",2725,"Multifamily Housing",71993,"Old Quaker Building",1870,NA,NA,308.5
"424",3518952.6,"19144",3540.5,"Multifamily Housing",79800,"Interfaith House in Germantown",1989,NA,NA,390.4
"425",4880084.7,"19144",13773.2,"Multifamily Housing",198000,"Fishers Crossing",1890,NA,NA,541.4
"426",3677153.3,"19124",675.1,"Retail Store",82617,"Cotswold Group - Hunting Park Plaza",1990,NA,NA,407.9
"427",3821262.6,"19107",3732.8,"Multifamily Housing",145920,"(PA2422) - The Pearl",2007,NA,NA,423.9
"428",5296427.1,"19106",2761.4,"Multifamily Housing",109374,"The Chocolate Works",1911,NA,NA,587.5
"429",1743101.1,"19144",822.1,"Multifamily Housing",54015,"Nugent Senior Apartments",2013,NA,NA,193.4
"430",1752062,"19103",3064,"Multifamily Housing",90103,"ADR 2031 Locust LP",1929,NA,NA,195.6
"431",6802852.4,"19102",2085.5,"Multifamily Housing",101827,"1401 Walnut Street",1950,NA,NA,754.6
"432",3281483.2,"19131",1375.7,"Office",72250,"PC - Monroe",2015,NA,NA,364
"433",1520591.9,"19107",982.6,"Multifamily Housing",46620,"1222 Arch Street Partners",1881,NA,NA,168.7
"434",6774508.9,"19103",2034.2,"Multifamily Housing",105550,"1700 Chestnut Street",1950,NA,NA,751.5
"435",6830366.8,"19103",4799.2,"Multifamily Housing",221820,"SAB Holdings LP",1930,NA,NA,757.7
"436",6906846.8,"19106",4561.6,"Multifamily Housing",132500,"Bridgeview Place",1990,NA,NA,766.2
"437",5229115.2,"19106",1759.6,"Multifamily Housing",70826,"The Arch Condominiums",1925,NA,NA,580.1
"438",8419833.3,"19131",1788.8,"Supermarket/Grocery Store",56615,"Pathmark Store 6556",1980,NA,NA,1284.2
"439",13484401.4,"19106",7016,"Multifamily Housing",295400,"(PA2420) - Pier 3 Condominiums",1923,NA,NA,1495.8
"440",13609096.4,"19131",12390.7,"Multifamily Housing",444073,"Mansion at Bala",2010,NA,NA,1509.7
"441",382676.3,"19144",207.1,"Non-Refrigerated Warehouse",77285,"ephs realty",1988,NA,NA,42.5
"442",8021953.2,"19102",1465.2,"Office",93544,"1525 Locust",1983,NA,NA,889.9
"443",625648.2,"19144",3277.2,"Multifamily Housing",51000,"5215 Schuyler",1910,NA,NA,69.4
"444",9370058.3,"19124",187,"Office",79883,"CO/GLC 19008/4808 LEIPER ST/PHILADELPHIA/PA",1905,NA,NA,1044.6
"445",1311763.9,"19106",1415,"Multifamily Housing",50000,"Mariner's Court",1858,NA,NA,145.5
"446",8264665.8,"19107",8100.6,"Multifamily Housing",210222,"One Water Street Associates",2016,NA,NA,837.3
"447",7398795.8,"19131",36,"Office",52021,"CO/GLC 13030/5160 LANCASTER AVE/PHILADELPHIA/PA",1905,NA,NA,884.1
"448",9870438.3,"19104",48,"Office",75176,"CO/GLC 13090/3810 CHESTNUT ST/PHILADELPHIA/PA",1905,NA,NA,1161.3
"449",7051573.6,"19107",10314.6,"Multifamily Housing",180700,"Cosmopolitan Apartments",1986,NA,NA,782.2
"450",7066941.2,"19104",16430.7,"Office",98707,"Left Bank",1923,NA,NA,783.9
"451",10130371.3,"19131",19741.5,"Hotel",112823,"Crowne Plaza Philadelphia West",1981,NA,NA,1123.8
"452",10130978.6,"19103",2330.7,"Office",153242,"LT02185 - 800 Walnut Street",2013,NA,NA,1123.8
"453",78659804.4,"19102",20399.3,"Office",1283937,"Two Liberty Place",1990,NA,NA,8725.8
"454",67826465.6,"19104",14524.1,"Office",779497,"150-CIRA CENTRE",2006,NA,NA,7524.1
"455",72704772.6,"19103",16240.5,"Office",1022084,"One Commerce Square",1987,NA,NA,8065.2
"456",76201390.2,"19103",7121.2,"Office",1335092,"One Liberty Place",1987,NA,NA,8462.5
"457",11642139.8,"19103",6087.7,"Multifamily Housing",305420,"2040 Market St Associates",1973,NA,NA,1291.5
"458",59305336.8,"19103",16921.7,"Office",808040,"154-TWO LOGAN SQUARE",1988,NA,NA,6578.8
"459",13010884.1,"19103",3306.5,"Office",248000,"1880 JFK",1983,NA,NA,1443.3
"460",27267431.3,"19106",14752.6,"Multifamily Housing",663502,"Independence Place Owners Association",1981,NA,NA,3024.8
"461",8848909.4,"19131",356.3,"Retail Store",117132,"lowes 2378",2008,NA,NA,981.6
"462",12590883.9,"19103",2404.9,"Office",248000,"1800 JFK",1983,NA,NA,1396.7
"463",6015792.7,"19122",9137,"Other",178596,"TEMPLE TOWERS",2000,11247,2639792.6,1134.5
"464",534239700.4,"19104",171999.6,"Other - Specialty Hospital",6353396,"The Children's Hospital fo Philadelphia",1974,2219178.1,580434198.5,90258
"465",18692287.2,"19122",3690,"College/University",233240,"NEW TYLER SOA",2000,NA,543563.1,7286.9
"466",517556.7,"19102",4443.8,"Mixed Use Property",81960,"The Racquet Club of Philadelphia",1907,NA,807731.7,625.6
"467",3021868.8,"19122",13419.9,"College/University",67644,"CONWELL HALL",2000,NA,261.8,824.2
"468",1689656.2,"19104",1999.9,"Mixed Use Property",60000,"3010 Market Street",1895,NA,900282.8,356.6
"469",3305582.4,"19122",4815.4,"Other",59253,"PODIATRIC - HOUSING",2000,NA,652274.1,541.7
"470",5800324.9,"19122",456.4,"College/University",110605,"SPEAKMAN",2000,NA,70.3,1232.4
"471",2453128.4,"19122",992,"College/University",111090,"RITTER HALL",2000,NA,269,1046.7
"472",4669475.5,"19122",1168,"College/University",112771,"MITTEN",2000,NA,55331.1,1598.5
"473",4841177.6,"19104",801.3,"Office",61589,"Monell Center",1970,NA,476.7,829.8
"474",3432629,"19107",1320.3,"Library",71316,"Historical Society of Pennsylvania",1910,NA,295104.5,684.4
"475",22391993.8,"19122",7093.1,"Other",143177,"HARDWICK",2000,NA,1694265.1,3316.7
"476",6783530.3,"19122",4393.3,"College/University",220700,"GITTIS STUDENT CENTER",2000,NA,114606.4,1457.1
"477",6925049.8,"19122",1320.3,"College/University",159000,"WEISS",2000,NA,0,2146.4
"478",5597641.9,"19104",1840.7,"College/University",89077,"13-Nesbitt",1970,NA,393.3,916.8
"479",5277613.4,"19104",1111.6,"College/University",117168,"55,55A,55B,55C-Academic/DesignAnnex/MathForum/Police Station",1926,NA,827681.9,1018.6
"480",30873973.3,"19104",14714.4,"College/University",333089,"1,2,3,4-Main,Randell,Curtis,Alumni",1891,NA,721,4394.1
"481",13594179.1,"19122",10885.1,"College/University",325022,"1300 C. B. Moore",2001,NA,1540,3682.5
"482",9770923.9,"19122",3193.1,"College/University",130655,"WACHMAN HALL",2000,NA,6749.3,2014.8
"483",13863249.4,"19104",14465.3,"College/University",237906,"15,16,90-Haggerty/General Service/Law",1971,NA,1852.3,1796.3
"484",16030582.5,"19122",3075.9,"College/University",174700,"BEURY",2000,NA,1159.5,4331.5
"485",16387668.8,"19104",5029.8,"College/University",231614,"8,9B,9A,9C- Creese /MacAlister /Mandell / Handschumacher",1973,NA,662793.4,2306.2
"486",43577245.1,"19104",13825.9,"Laboratory",255427,"The Wistar Institute",1894,NA,33930.3,6900
"487",45259258.8,"19104",12092.5,"College/University",602118,"5,6,12,53,58,61-Quad Buildings",1898,NA,230690.1,7084.9
"488",10804063.9,"19122",837.2,"College/University",184644,"PALEY",2000,NA,136.6,2702.5
"489",16627638.2,"19104",5299.5,"College/University",176360,"7,7A-Bossone / Commonwealth",2004,NA,10712159,2889.5
"490",16661792.3,"19104",3290.4,"Other - Recreation",265093,"14,14A-Daskalakis Athletic Center / Recreation Center",1976,NA,4637003.2,2689.7
"491",38521582.4,"19104",6907.5,"Laboratory",125000,"TRL 31st Street",2004,NA,139454,6633.4
"492",15089573.4,"19122",4930,"College/University",224875,"Pearson/Mcgonigle",1969,NA,39149.4,3080.3
"493",7214087.1,"19122",996.7,"College/University",181566,"GLADFELTER",2000,NA,310,1977.8
"494",11296019.7,"19104",2932,"Office",189262,"3600 Market St",1930,NA,1270598.3,1320.6
"495",19320289.6,"19103",8176.7,"Library",200680,"Central Library",1922,NA,584404,2627.7
"496",8188097.1,"19107",3847.8,"College/University",146805,"PODIATRIC - UNIVERSITY",2000,NA,1228.9,1256.1
"497",8302655,"19122",2862.3,"College/University",207802,"ANDERSON",2000,NA,145,1796.1
"498",175272734,"19102",92361,"Hospital (General Medical & Surgical)",1558918,"HUH Main Buildings",1979,NA,386058.5,33374.3
"499",22391993.8,"19122",7093.1,"Other",143177,"JOHNSON",2000,NA,1694265.1,3316.7
"500",18731572.9,"19122",19655.1,"College/University",168651,"BIOLOGY",2000,NA,1308.1,7513.3
"501",7717060.3,"19122",3418.3,"College/University",160325,"ENGINEERING",2000,NA,20,2028.9
"502",7743609.1,"19122",1775.5,"College/University",120576,"ANNENBERG and TOMLINSON THEATER",2000,NA,92,1382.2
"503",9410125.4,"19102",6480.3,"Performing Arts",144080,"Academy of Music",1857,NA,7583,1333.6
"504",13323542.7,"19107",5978.7,"College/University",273901,"Terra Hall",1911,NA,453345.9,2329.7
